link_permanente,tipo_de_publicação,impressões,alcance,compartilhamentos,seguimentos,curtidas,comentários,salvamentos,data,horario
https://www.instagram.com/p/CdlPuY4Nai_/,Carrossel do Instagram,52360,40059,2666,121,5727,36,416,2022-05-15,07:05:00
https://www.instagram.com/p/Cdn2yHetbvq/,Carrossel do Instagram,31406,25617,167,16,1727,12,159,2022-05-16,07:05:00
https://www.instagram.com/p/Cdn8zMFuGdO/,Imagem do Instagram,10607,9946,23,0,226,5,8,2022-05-16,08:05:00
https://www.instagram.com/p/CdogEP9p5xJ/,Carrossel do Instagram,10962,9243,85,6,489,3,21,2022-05-16,13:05:00
https://www.instagram.com/p/CdqN-e-sAVF/,Carrossel do Instagram,11273,9785,1711,32,1240,2,114,2022-05-17,05:05:00
https://www.instagram.com/p/CdrWSvVsd2L/,Carrossel do Instagram,24167,19229,169,12,1530,7,140,2022-05-17,16:05:00
https://www.instagram.com/p/Cdt6x8Mtvlr/,Vídeo do Instagram,39141,35160,1561,30,2417,23,179,2022-05-18,16:05:00
https://www.instagram.com/p/Cdvi71oL4Rv/,Carrossel do Instagram,14402,11640,123,24,728,2,136,2022-05-19,07:05:00
https://www.instagram.com/p/CdyG7vphuC5/,Imagem do Instagram,37373,33953,1669,30,3088,176,135,2022-05-20,07:05:00
https://www.instagram.com/p/Cdy6ErjByn3/,Carrossel do Instagram,65077,46966,1564,445,5478,31,1657,2022-05-20,14:05:00
https://www.instagram.com/p/Cd3OdsALrHl/,Carrossel do Instagram,32663,25069,856,44,1731,12,268,2022-05-22,07:05:00
https://www.instagram.com/p/Cd50OwsBLBL/,Carrossel do Instagram,15466,12885,65,6,772,2,66,2022-05-23,07:05:00
https://www.instagram.com/p/Cd508vLOAvK/,Imagem do Instagram,8002,7239,6,4,342,2,8,2022-05-23,07:05:00
https://www.instagram.com/p/Cd8ZfHNKISw/,Imagem do Instagram,13205,12150,92,0,621,15,74,2022-05-24,07:05:00
https://www.instagram.com/p/Cd_Glt-Bt6R/,Carrossel do Instagram,8271,7025,66,16,400,3,41,2022-05-25,08:05:00
https://www.instagram.com/p/CeBSDv7ppz7/,Carrossel do Instagram,22591,19320,803,106,1008,384,40,2022-05-26,04:05:00
https://www.instagram.com/p/CeCTqKJhwub/,Carrossel do Instagram,41026,32748,259,10,3366,48,82,2022-05-26,14:05:00
https://www.instagram.com/p/CeEvBtWhaD0/,Carrossel do Instagram,13381,10745,20,0,474,6,50,2022-05-27,12:05:00
https://www.instagram.com/p/CeHbR5sB6u_/,Carrossel do Instagram,11832,9909,50,6,688,3,31,2022-05-28,14:05:00
https://www.instagram.com/p/CeJUcmWPf9L/,Carrossel do Instagram,51564,41181,3342,112,4883,22,477,2022-05-29,07:05:00
https://www.instagram.com/p/CeMevVbqiMS/,Carrossel do Instagram,25908,22067,108,8,1459,15,212,2022-05-30,13:05:00
https://www.instagram.com/p/CeMsM7FLXUF/,Carrossel do Instagram,7128,5804,1,0,82,2,4,2022-05-30,15:05:00
https://www.instagram.com/p/CeOkJkBNQAr/,Imagem do Instagram,11085,10107,6,0,200,12,20,2022-05-31,08:05:00
https://www.instagram.com/p/CePP7Vusy8q/,Carrossel do Instagram,68723,50080,1857,228,4322,54,3316,2022-05-31,14:05:00
https://www.instagram.com/p/CeQ9QQKNlLD/,Carrossel do Instagram,14017,11845,156,2,674,3,60,2022-06-01,06:06:00
https://www.instagram.com/p/CeRsNq5hhgJ/,Carrossel do Instagram,41517,34248,827,36,2895,28,295,2022-06-01,13:06:00
https://www.instagram.com/p/CeUhAKFhvcK/,Carrossel do Instagram,37034,30573,167,16,1499,21,178,2022-06-02,16:06:00
https://www.instagram.com/p/CeWRrkkONeu/,Imagem do Instagram,5411,4684,4,0,135,2,3,2022-06-03,08:06:00
https://www.instagram.com/p/CeYw6-htijA/,Carrossel do Instagram,10773,9491,43,0,319,2,19,2022-06-04,07:06:00
https://www.instagram.com/p/CeZaXUVr9YB/,Carrossel do Instagram,10457,9367,5,4,165,0,17,2022-06-04,13:06:00
https://www.instagram.com/p/CebQ2dfLurf/,Vídeo do Instagram,10386,9526,19,0,381,2,12,2022-06-05,06:06:00
https://www.instagram.com/p/CecAXQ3otVs/,Imagem do Instagram,22335,21181,256,4,1113,13,156,2022-06-05,13:06:00
https://www.instagram.com/p/CegXwxfN4NB/,Carrossel do Instagram,23413,19999,218,6,1583,15,63,2022-06-07,06:06:00
https://www.instagram.com/p/CehMNRlugds/,Carrossel do Instagram,15094,13131,89,10,445,37,65,2022-06-07,14:06:00
https://www.instagram.com/p/CejBVr9srDV/,Carrossel do Instagram,7695,6379,22,10,189,3,34,2022-06-08,07:06:00
https://www.instagram.com/reel/Ceju77rjoR6/,Vídeo do Instagram,6870,6120,28,4,158,10,13,2022-06-08,13:06:00
https://www.instagram.com/p/CemLLUgM61b/,Carrossel do Instagram,31438,24628,516,28,1198,14,344,2022-06-09,12:06:00
https://www.instagram.com/p/Cemh_tBsap9/,Carrossel do Instagram,11201,9066,33,6,191,6,31,2022-06-09,15:06:00
https://www.instagram.com/p/CeoLr-PNMje/,Vídeo do Instagram,8886,8019,34,0,318,2,29,2022-06-10,07:06:00
https://www.instagram.com/p/CeoU7mLOG4W/,Carrossel do Instagram,35097,27390,389,26,1571,20,161,2022-06-10,08:06:00
https://www.instagram.com/p/CeoZ6NDOwP3/,Carrossel do Instagram,21212,16921,287,12,884,13,119,2022-06-10,09:06:00
https://www.instagram.com/p/Ceo38EJIrx5/,Carrossel do Instagram,12622,10238,69,2,442,3,28,2022-06-10,13:06:00
https://www.instagram.com/p/CetKoeJrVJZ/,Carrossel do Instagram,13828,11907,86,2,502,1,40,2022-06-12,05:06:00
https://www.instagram.com/p/Cet1fM6uRPL/,Carrossel do Instagram,37456,30711,896,12,2813,7,178,2022-06-12,12:06:00
https://www.instagram.com/p/Cewm11puQaP/,Carrossel do Instagram,6865,5869,0,0,89,1,8,2022-06-13,13:06:00
https://www.instagram.com/p/CezLIFJMmif/,Carrossel do Instagram,39265,30938,538,103,1834,18,905,2022-06-14,13:06:00
https://www.instagram.com/p/Ce1CFptpavp/,Carrossel do Instagram,7267,6098,3,0,93,0,9,2022-06-15,07:06:00
https://www.instagram.com/p/Ce3mZGsubxM/,Imagem do Instagram,15571,14418,90,2,920,6,74,2022-06-16,07:06:00
https://www.instagram.com/p/Ce8kb6ftlxR/,Carrossel do Instagram,7091,5899,0,0,184,1,3,2022-06-18,05:06:00
https://www.instagram.com/p/Ce8v-Myjb62/,Carrossel do Instagram,6756,5750,7,2,109,0,17,2022-06-18,07:06:00
https://www.instagram.com/p/Ce9f_dlIIt6/,Carrossel do Instagram,6202,5214,1,0,65,1,10,2022-06-18,14:06:00
https://www.instagram.com/p/Ce_UtROtSi5/,Carrossel do Instagram,18646,16186,107,0,883,8,80,2022-06-19,07:06:00
https://www.instagram.com/p/Ce_UxQ_Pj8j/,Carrossel do Instagram,8495,7051,23,0,377,2,21,2022-06-19,07:06:00
https://www.instagram.com/p/CfCoG1kvcpH/,Carrossel do Instagram,56088,45795,4007,222,5440,192,390,2022-06-20,13:06:00
https://www.instagram.com/p/CfFObvELQqR/,Carrossel do Instagram,33606,27432,547,6,1608,8,168,2022-06-21,14:06:00
https://www.instagram.com/p/CfHDF5ovvWK/,Carrossel do Instagram,25243,21892,142,26,1173,24,116,2022-06-22,07:06:00
https://www.instagram.com/reel/CfHxOfMDQYZ/,Vídeo do Instagram,13694,12026,25,0,257,11,19,2022-06-22,13:06:00
https://www.instagram.com/p/CfJn6u7vqAj/,Imagem do Instagram,13246,11994,75,4,805,2,51,2022-06-23,07:06:00
https://www.instagram.com/p/CfKjYRgrpuO/,Carrossel do Instagram,6666,5638,20,6,108,0,10,2022-06-23,15:06:00
https://www.instagram.com/p/CfMNjYYBwSY/,Carrossel do Instagram,30684,24319,145,32,1467,3,738,2022-06-24,07:06:00
https://www.instagram.com/p/CfNBUXCt8Pn/,Carrossel do Instagram,14711,12153,50,13,584,12,60,2022-06-24,14:06:00
https://www.instagram.com/p/CfOxc-SrAPG/,Imagem do Instagram,24102,22090,317,6,1307,17,26,2022-06-25,07:06:00
https://www.instagram.com/p/CfPkGpWvH_h/,Carrossel do Instagram,8047,6586,7,2,120,2,1,2022-06-25,14:06:00
https://www.instagram.com/p/CfRUmH1u4AW/,Carrossel do Instagram,12671,10945,99,6,662,0,25,2022-06-26,06:06:00
https://www.instagram.com/p/CfSGVsRI0XN/,Carrossel do Instagram,56042,44362,2553,68,5958,13,547,2022-06-26,14:06:00
https://www.instagram.com/p/CfWh8B5OAPt/,Imagem do Instagram,5622,4946,165,2,338,0,16,2022-06-28,07:06:00
https://www.instagram.com/p/CfWyqpXhxz_/,Imagem do Instagram,7311,6502,6,0,169,11,8,2022-06-28,09:06:00
https://www.instagram.com/reel/CfXQi6mjpl1/,Vídeo do Instagram,53464,48451,699,30,2456,36,860,2022-06-28,14:06:00
https://www.instagram.com/p/CfXbZTOKy8m/,Carrossel do Instagram,4845,4157,28,0,169,1,9,2022-06-28,15:06:00
https://www.instagram.com/p/CfY2l_dhidA/,Carrossel do Instagram,5583,4714,19,0,140,3,8,2022-06-29,04:06:00
https://www.instagram.com/p/CfZwXPWLVQp/,Carrossel do Instagram,24175,19089,157,24,1004,7,261,2022-06-29,13:06:00
https://www.instagram.com/p/CfaBimoKWts/,Carrossel do Instagram,4257,3334,2,0,40,0,5,2022-06-29,15:06:00
https://www.instagram.com/p/Cfbpcz7v6sj/,Imagem do Instagram,9734,8989,101,2,458,1,39,2022-06-30,07:06:00
https://www.instagram.com/p/Cb0qeoKMZoP/,Carrossel do Instagram,23717,19515,180,44,1386,2,181,2022-04-01,14:04:00
https://www.instagram.com/p/Cfe9nwEoGvC/,Carrossel do Instagram,5012,3968,15,6,46,2,9,2022-07-01,13:07:00
https://www.instagram.com/p/CflycRLtOxY/,Carrossel do Instagram,38468,30661,1002,18,3725,19,206,2022-07-04,05:07:00
https://www.instagram.com/reel/CfmA5ewjr4t/,Vídeo do Instagram,9526,8294,19,2,232,12,14,2022-07-04,07:07:00
https://www.instagram.com/p/CfobPPQLUF5/,Carrossel do Instagram,38924,33082,282,18,2317,29,141,2022-07-05,06:07:00
https://www.instagram.com/p/Cfpcf_vup6q/,Carrossel do Instagram,11759,9807,51,6,529,2,65,2022-07-05,15:07:00
https://www.instagram.com/p/CfrMY72DJuS/,Carrossel do Instagram,7656,6246,29,2,230,0,58,2022-07-06,07:07:00
https://www.instagram.com/p/CfruCBAOdHx/,Imagem do Instagram,24014,21650,224,58,707,43,120,2022-07-06,12:07:00
https://www.instagram.com/p/CftWb8nry0g/,Carrossel do Instagram,17181,14098,100,4,567,8,61,2022-07-07,04:07:00
https://www.instagram.com/p/CftdiALJr9A/,Carrossel do Instagram,15652,12711,108,0,433,3,48,2022-07-07,05:07:00
https://www.instagram.com/p/CfuZ8HqqYaZ/,Carrossel do Instagram,7749,6394,5,4,92,0,13,2022-07-07,13:07:00
https://www.instagram.com/p/Cfw5AdwOT8i/,Carrossel do Instagram,13928,11588,71,6,818,16,42,2022-07-08,13:07:00
https://www.instagram.com/p/CfysCZNsxtR/,Carrossel do Instagram,6505,5448,9,2,162,0,10,2022-07-09,05:07:00
https://www.instagram.com/p/CfzjB_5M15B/,Vídeo do Instagram,4214,3549,5,6,44,0,3,2022-07-09,13:07:00
https://www.instagram.com/p/Cf2Cml-LVMP/,Imagem do Instagram,23657,22297,325,10,1589,8,81,2022-07-10,13:07:00
https://www.instagram.com/p/Cf4t9ZOuXuM/,Carrossel do Instagram,24299,20231,224,30,1710,6,174,2022-07-11,13:07:00
https://www.instagram.com/reel/Cf6q4aeDajP/,Vídeo do Instagram,27892,25789,159,16,1580,21,138,2022-07-12,08:07:00
https://www.instagram.com/p/Cf7c8ELugre/,Carrossel do Instagram,14574,12073,470,21,895,16,79,2022-07-12,15:07:00
https://www.instagram.com/p/Cf9Kwadpawk/,Carrossel do Instagram,22866,18630,302,4,722,1,209,2022-07-13,07:07:00
https://www.instagram.com/p/Cf_05d6L-BW/,Carrossel do Instagram,6532,5449,13,4,133,0,29,2022-07-14,08:07:00
https://www.instagram.com/p/CgCyPvphXRq/,Imagem do Instagram,5795,5270,30,2,238,0,10,2022-07-15,11:07:00
https://www.instagram.com/p/CgDE8f2Ibad/,Vídeo do Instagram,4569,3996,5,8,54,0,1,2022-07-15,14:07:00
https://www.instagram.com/p/CgEq2nLtR0-/,Imagem do Instagram,4646,3968,0,0,34,0,0,2022-07-16,05:07:00
https://www.instagram.com/p/CgFu0C-L3yZ/,Carrossel do Instagram,9561,8277,13,4,151,0,15,2022-07-16,15:07:00
https://www.instagram.com/p/CgHX6EvsqiU/,Carrossel do Instagram,37468,30487,964,32,3432,6,267,2022-07-17,06:07:00
https://www.instagram.com/p/CgIH7J3I355/,Imagem do Instagram,4708,4127,12,0,59,1,6,2022-07-17,13:07:00
https://www.instagram.com/p/CgKAKWYvWhX/,Carrossel do Instagram,20247,16380,238,10,656,13,79,2022-07-18,07:07:00
https://www.instagram.com/p/CgM5630vZ3W/,Carrossel do Instagram,17780,14640,124,14,907,5,95,2022-07-19,10:07:00
https://www.instagram.com/p/CgPYxNhrknj/,Carrossel do Instagram,11434,9380,22,6,299,5,50,2022-07-20,09:07:00
https://www.instagram.com/p/CgRt0SlrA2R/,Carrossel do Instagram,22414,18357,135,16,823,9,165,2022-07-21,06:07:00
https://www.instagram.com/p/CgSaxE3rRB6/,Carrossel do Instagram,9281,7859,30,2,194,8,42,2022-07-21,13:07:00
https://www.instagram.com/p/CgUSCYvs22T/,Carrossel do Instagram,15857,12844,61,10,675,6,123,2022-07-22,06:07:00
https://www.instagram.com/p/CgWyD7It5Fz/,Carrossel do Instagram,6829,5797,2,0,77,0,17,2022-07-23,06:07:00
https://www.instagram.com/p/CgZfCPxLAmf/,Carrossel do Instagram,41164,34326,391,50,2857,26,372,2022-07-24,07:07:00
https://www.instagram.com/p/CgaOpSFoKI8/,Imagem do Instagram,20304,18323,124,10,1152,4,50,2022-07-24,14:07:00
https://www.instagram.com/p/CgerQKWNKtP/,Carrossel do Instagram,15096,13017,99,44,582,4,97,2022-07-26,07:07:00
https://www.instagram.com/p/CgfaZJIrA0P/,Imagem do Instagram,5031,4165,2,2,47,0,12,2022-07-26,14:07:00
https://www.instagram.com/reel/CghWJ32jodW/,Vídeo do Instagram,7868,6928,7,2,136,2,6,2022-07-27,08:07:00
